Category: All categories

Month,boba bubble tea: (United States)
2004-01,8
2004-02,0
2004-03,10
2004-04,20
2004-05,11
2004-06,11
2004-07,8
2004-08,7
2004-09,16
2004-10,3
2004-11,3
2004-12,6
2005-01,3
2005-02,3
2005-03,12
2005-04,8
2005-05,5
2005-06,13
2005-07,5
2005-08,7
2005-09,4
2005-10,6
2005-11,21
2005-12,14
2006-01,9
2006-02,7
2006-03,3
2006-04,8
2006-05,10
2006-06,8
2006-07,7
2006-08,9
2006-09,8
2006-10,3
2006-11,5
2006-12,1
2007-01,4
2007-02,8
2007-03,6
2007-04,8
2007-05,8
2007-06,6
2007-07,8
2007-08,9
2007-09,5
2007-10,1
2007-11,9
2007-12,2
2008-01,8
2008-02,9
2008-03,9
2008-04,8
2008-05,13
2008-06,12
2008-07,14
2008-08,7
2008-09,7
2008-10,4
2008-11,5
2008-12,10
2009-01,4
2009-02,7
2009-03,6
2009-04,3
2009-05,6
2009-06,7
2009-07,10
2009-08,11
2009-09,7
2009-10,4
2009-11,1
2009-12,5
2010-01,6
2010-02,8
2010-03,5
2010-04,8
2010-05,9
2010-06,10
2010-07,9
2010-08,8
2010-09,8
2010-10,9
2010-11,8
2010-12,2
2011-01,7
2011-02,11
2011-03,12
2011-04,6
2011-05,11
2011-06,13
2011-07,11
2011-08,8
2011-09,12
2011-10,10
2011-11,4
2011-12,6
2012-01,8
2012-02,10
2012-03,8
2012-04,14
2012-05,16
2012-06,11
2012-07,10
2012-08,10
2012-09,12
2012-10,8
2012-11,7
2012-12,7
2013-01,13
2013-02,13
2013-03,10
2013-04,12
2013-05,14
2013-06,15
2013-07,21
2013-08,20
2013-09,13
2013-10,12
2013-11,12
2013-12,10
2014-01,13
2014-02,13
2014-03,15
2014-04,19
2014-05,16
2014-06,24
2014-07,19
2014-08,18
2014-09,12
2014-10,11
2014-11,9
2014-12,8
2015-01,13
2015-02,10
2015-03,13
2015-04,12
2015-05,17
2015-06,19
2015-07,18
2015-08,21
2015-09,17
2015-10,12
2015-11,13
2015-12,11
2016-01,17
2016-02,21
2016-03,19
2016-04,23
2016-05,25
2016-06,24
2016-07,26
2016-08,24
2016-09,20
2016-10,20
2016-11,18
2016-12,17
2017-01,22
2017-02,27
2017-03,29
2017-04,31
2017-05,29
2017-06,29
2017-07,35
2017-08,30
2017-09,26
2017-10,21
2017-11,20
2017-12,21
2018-01,26
2018-02,23
2018-03,31
2018-04,34
2018-05,31
2018-06,30
2018-07,35
2018-08,32
2018-09,27
2018-10,29
2018-11,22
2018-12,26
2019-01,31
2019-02,33
2019-03,46
2019-04,49
2019-05,50
2019-06,53
2019-07,51
2019-08,45
2019-09,38
2019-10,36
2019-11,38
2019-12,37
2020-01,50
2020-02,50
2020-03,42
2020-04,49
2020-05,54
2020-06,66
2020-07,75
2020-08,66
2020-09,54
2020-10,54
2020-11,53
2020-12,52
2021-01,70
2021-02,68
2021-03,74
2021-04,90
2021-05,100
2021-06,88
2021-07,92
2021-08,75
2021-09,54
2021-10,50
2021-11,52
2021-12,56
2022-01,60
2022-02,66
2022-03,70
